Admin1_Name,Admin1_Pcode,Admin2_Name,Admin2_Pcode,Admin3_Name,Admin3_Pcode,Locality_Name,Locality_Pcode,Latitude,Longitude
Borno,NG008,Maiduguri,NG008018,Bolori I,NG008018001,Custom House IDP Camp,NG008018001001,11.8333,13.15
Borno,NG008,Maiduguri,NG008018,Bolori II,NG008018002,El-Miskin Camp,NG008018002001,11.845,13.162
Borno,NG008,Maiduguri,NG008018,Gwange I,NG008018003,Gwange Central,NG008018003001,11.821,13.178
Borno,NG008,Maiduguri,NG008018,Gwange II,NG008018004,Stadium Camp,NG008018004001,11.829,13.185
Borno,NG008,Maiduguri,NG008018,Maisandari,NG008018005,Bakasi Camp,NG008018005001,11.81,13.12
Borno,NG008,Maiduguri,NG008018,Shehuri North,NG008018006,Monday Market Community,NG008018006001,11.839,13.149
Borno,NG008,Jere,NG008013,Muna,NG008013001,Muna Garage IDP Camp,NG008013001001,11.868,13.22
Borno,NG008,Jere,NG008013,Muna,NG008013001,Muna Da'alti,NG008013001002,11.872,13.225
Borno,NG008,Jere,NG008013,Mashamari,NG008013002,Farm Center Camp,NG008013002001,11.854,13.19
Borno,NG008,Jere,NG008013,Dusuman,NG008013003,Dusuman Village,NG008013003001,11.91,13.24
Borno,NG008,Jere,NG008013,Galtimari,NG008013004,Galtimari Settlement,NG008013004001,11.802,13.189
Borno,NG008,Konduga,NG008015,Konduga Central,NG008015001,Konduga General Clinic,NG008015001001,11.65,13.418
Borno,NG008,Konduga,NG008015,Dalori,NG008015002,Dalori I IDP Camp,NG008015002001,11.78,13.26
Borno,NG008,Konduga,NG008015,Dalori,NG008015002,Dalori II IDP Camp,NG008015002002,11.785,13.268
Borno,NG008,Gwoza,NG008010,Gwoza Town,NG008010001,Gwoza Transit Camp,NG008010001001,11.0833,13.6944
Borno,NG008,Gwoza,NG008010,Pulka,NG008010002,Pulka Camp IV,NG008010002001,11.22,13.78
Borno,NG008,Bama,NG008003,Shehuri Bama,NG008003001,Bama GSSS Camp,NG008003001001,11.52,13.68
Borno,NG008,Bama,NG008003,Kasugula,NG008003002,Kasugula IDP Camp,NG008003002001,11.515,13.69
Borno,NG008,Monguno,NG008021,Monguno Town,NG008021001,Waterboard Camp,NG008021001001,12.67,13.61
Borno,NG008,Monguno,NG008021,Monguno Town,NG008021001,GSSS Monguno Camp,NG008021001002,12.675,13.615
Yobe,NG036,Damaturu,NG036006,Damaturu Central,NG036006001,Kukumare Settlement,NG036006001001,11.747,11.961
Yobe,NG036,Damaturu,NG036006,Maisandari Damaturu,NG036006002,Nayakare Community,NG036006002001,11.755,11.97
Yobe,NG036,Potiskum,NG036014,Bolewa A,NG036014001,Potiskum General Area,NG036014001001,11.71,11.07
